model,mix,items_per_lang,eval_lang,prob_forget,prob_retain,model_utility,metric,ft_baseline,baseline,best_alpha,best_start_layer,best,recovery,recovery_frac,random_delta,nli_ft,nli_baseline,nli_best,nli_recovery,nli_recovery_frac,nli_random_delta,nli_validated
en,monolingual,40,en,0.009993622597831837,0.5939459589417675,0.5049930066084426,rougeL_recall,0.952460485784982,0.4233414663934262,0.5,4,0.46574485675978294,0.042403390366356764,0.08013960718160773,0.01986059758489145,0.9110571645702293,0.26344845811071205,0.34693650212301747,0.08348804401230542,0.12891742062693276,0.016636911109664587,True
en+fr+ar_third,interleave,14,en,0.034655773319879166,0.7969940780266549,0.5122188033810864,rougeL_recall,0.952460485784982,0.4581780771816132,0.5,2,0.47572453741377857,0.017546460232165384,0.035498856375941426,0.004014235566512092,0.9110571645702293,0.21147830594966824,0.3063560074688505,0.09487770151918226,0.1356211674353101,0.13708697417485763,True
en+fr+ar_third,interleave,13,fr,0.059132687152746666,0.7058314224331861,0.4459280415970795,chrf,0.7463106770312009,0.3942468904352934,0.8,4,0.21057532695233322,-0.18367156348296015,-0.5216996762401328,-0.01763402063840558,0.7820488246049028,0.23508656297312455,0.108089966299955,-0.12699659667316954,-0.23218529975778335,0.003978723069499257,True
en+fr+ar_third,interleave,13,ar,0.11232015596663789,0.5419753549246906,0.4103371041429687,chrf,0.5246202219194301,0.28175782345277156,0.8,0,0.10552148230953858,-0.176236341143233,-0.7256633478707394,-0.012799793900015788,0.5952838581730561,0.2041975047867929,0.1151357256428028,-0.0890617791439901,-0.22772919170622838,-0.03710874521499008,True
en+fr+ja+ar_quarter,interleave,10,en,0.09819768212120361,0.8335585919614088,0.5231609228751203,rougeL_recall,0.952460485784982,0.4978133675156678,0.5,4,0.49378134458840856,-0.004032022927259238,-0.008868466916952575,-0.004163620087692443,0.9110571645702293,0.3072916037585419,0.3322627298739462,0.024971126115404307,0.04135897728554399,0.005163265450429888,True
en+fr+ja+ar_quarter,interleave,10,fr,0.21956081426589197,0.7880638382946913,0.4526903921279873,chrf,0.7463106770312009,0.4346274969543481,0.8,4,0.23020667802833777,-0.20442081892601033,-0.6558609254294876,-0.033509713524257634,0.7820488246049028,0.3004559455184047,0.1499565990691684,-0.15049934644923632,-0.3125032636169967,-0.07086592848116283,True
en+fr+ja+ar_quarter,interleave,10,ar,0.2466061319552658,0.6966677487995451,0.4234576759716823,chrf,0.5246202219194301,0.28702392974711294,0.8,0,0.09407503698444065,-0.1929488927626723,-0.8120871373814862,-0.0023999145386676135,0.5952838581730561,0.25321948092738217,0.12039165646203856,-0.1328278244653436,-0.388312356682337,-0.006229849912345209,True
en+fr+ja+ar_quarter,interleave,10,ja,0.15868341516054804,0.5959841083193773,0.4697357186982235,chrf,0.37790105220375997,0.16739111794809478,0.8,0,0.0478443191920444,-0.11954679875605037,-0.5678914830255007,-0.008074472958673501,0.5213719864514758,0.17806058102887617,0.15648486733008724,-0.02157571369878894,-0.06284589838263686,0.014762014043503774,False
en+fr+ja_third,interleave,14,en,0.04115797690863345,0.836011547982211,0.5156497276588081,rougeL_recall,0.952460485784982,0.43861297752462214,0.5,4,0.4772532782697323,0.03864030074511016,0.07519799186324286,0.01190261858149333,0.9110571645702293,0.27167922012289825,0.31818673681303555,0.04650751669013731,0.07273869406042419,0.034300779658887615,True
en+fr+ja_third,interleave,13,fr,0.08586195115596959,0.7785807150152505,0.4374703391924536,chrf,0.7463106770312009,0.3972934350334924,0.8,4,0.24820125938212434,-0.14909217565136806,-0.4271771067755642,-0.03953350768503361,0.7820488246049028,0.19687146589461388,0.19575254599208236,-0.0011189199025315177,-0.0019121038876103809,-0.009280783957355238,True
